TimeStep,"DTdt","T","Tn","Points:0","Points:1","Points:2"
12,0.00065647,25.001,25.001,8.3133,0,0
12,0.00066243,25.001,25.001,8.35,0,0
12,0.00066845,25.001,25,8.3867,0,0
12,0.00067452,25.001,25,8.4233,0,0
12,0.00068064,25,25,8.46,0,0
12,0.00068683,25,25,8.4967,0,0
12,0.00069307,25,25,8.5333,0,0
12,0.00069936,25,25,8.57,0,0
12,0.00070572,25,25,8.6067,0,0
12,0.00071213,25,25,8.6433,0,0
12,0.00071861,25,25,8.68,0,0
12,0.00072514,25,25,8.7167,0,0
12,0.00073173,25,25,8.7533,0,0
12,0.0007384,25,25,8.79,0,0
12,0.00074512,25,25,8.8267,0,0
12,0.0007519,25,25,8.8633,0,0
12,0.00075875,25,25,8.9,0,0
12,0.00076567,25,25,8.9367,0,0
12,0.00077266,25,25,8.9733,0,0
12,0.00077972,25,25,9.01,0,0
12,nan,nan,nan,9.0467,0,0
12,nan,nan,nan,9.0833,0,0
12,nan,nan,nan,9.12,0,0
12,nan,nan,nan,9.1567,0,0
12,nan,nan,nan,9.1933,0,0
12,nan,nan,nan,9.23,0,0
12,nan,nan,nan,9.2667,0,0
12,nan,nan,nan,9.3033,0,0
12,nan,nan,nan,9.34,0,0
12,nan,nan,nan,9.3767,0,0
12,nan,nan,nan,9.4133,0,0
12,nan,nan,nan,9.45,0,0
12,nan,nan,nan,9.4867,0,0
12,nan,nan,nan,9.5233,0,0
12,nan,nan,nan,9.56,0,0
12,nan,nan,nan,9.5967,0,0
12,nan,nan,nan,9.6333,0,0
12,nan,nan,nan,9.67,0,0
12,nan,nan,nan,9.7067,0,0
12,nan,nan,nan,9.7433,0,0
12,nan,nan,nan,9.78,0,0
12,nan,nan,nan,9.8167,0,0
12,nan,nan,nan,9.8533,0,0
12,nan,nan,nan,9.89,0,0
12,nan,nan,nan,9.9267,0,0
12,nan,nan,nan,9.9633,0,0
12,nan,nan,nan,10,0,0
