Time,"T","Points:0","Points:1","Points:2"
0.0022,550.57,-1.264,0,0
0.0022,554.76,-1.252,0,0
0.0022,559.01,-1.24,0,0
0.0022,563.34,-1.228,0,0
0.0022,567.73,-1.216,0,0
0.0022,572.19,-1.204,0,0
0.0022,576.73,-1.192,0,0
0.0022,581.34,-1.18,0,0
0.0022,586.03,-1.168,0,0
0.0022,590.8,-1.156,0,0
0.0022,595.65,-1.144,0,0
0.0022,600.59,-1.132,0,0
0.0022,605.61,-1.12,0,0
0.0022,610.71,-1.108,0,0
0.0022,615.91,-1.096,0,0
0.0022,621.2,-1.084,0,0
0.0022,626.58,-1.072,0,0
0.0022,632.07,-1.06,0,0
0.0022,637.65,-1.048,0,0
0.0022,643.33,-1.036,0,0
0.0022,649.12,-1.024,0,0
0.0022,655.02,-1.012,0,0
0.0022,661.04,-1,0,0
0.0022,667.17,-0.988,0,0
0.0022,673.42,-0.976,0,0
0.0022,679.79,-0.964,0,0
0.0022,686.28,-0.952,0,0
0.0022,692.91,-0.94,0,0
0.0022,699.67,-0.928,0,0
0.0022,706.57,-0.916,0,0
0.0022,713.6,-0.904,0,0
0.0022,720.79,-0.892,0,0
0.0022,728.12,-0.88,0,0
0.0022,735.61,-0.868,0,0
0.0022,743.26,-0.856,0,0
0.0022,751.07,-0.844,0,0
0.0022,759.06,-0.832,0,0
0.0022,767.22,-0.82,0,0
0.0022,775.56,-0.808,0,0
0.0022,784.09,-0.796,0,0
0.0022,792.81,-0.784,0,0
0.0022,801.74,-0.772,0,0
0.0022,810.87,-0.76,0,0
0.0022,820.22,-0.748,0,0
0.0022,829.79,-0.736,0,0
0.0022,839.59,-0.724,0,0
0.0022,849.63,-0.712,0,0
0.0022,859.92,-0.7,0,0
0.0022,870.48,-0.688,0,0
0.0022,881.3,-0.676,0,0
0.0022,892.4,-0.664,0,0
0.0022,903.79,-0.652,0,0
0.0022,915.48,-0.64,0,0
0.0022,927.48,-0.628,0,0
0.0022,939.81,-0.616,0,0
0.0022,952.47,-0.604,0,0
0.0022,965.48,-0.592,0,0
0.0022,978.86,-0.58,0,0
0.0022,992.62,-0.568,0,0
0.0022,1006.8,-0.556,0,0
0.0022,1021.3,-0.544,0,0
0.0022,1036.4,-0.532,0,0
0.0022,1051.8,-0.52,0,0
0.0022,1067.7,-0.508,0,0
0.0022,1084.2,-0.496,0,0
0.0022,1101.1,-0.484,0,0
0.0022,1118.6,-0.472,0,0
0.0022,1136.6,-0.46,0,0
0.0022,1155.3,-0.448,0,0
0.0022,1174.5,-0.436,0,0
0.0022,1194.4,-0.424,0,0
0.0022,1215.1,-0.412,0,0
0.0022,1236.4,-0.4,0,0
0.0022,1258.5,-0.388,0,0
0.0022,1281.5,-0.376,0,0
0.0022,1305.2,-0.364,0,0
0.0022,1329.9,-0.352,0,0
0.0022,1355.6,-0.34,0,0
0.0022,1382.2,-0.328,0,0
0.0022,1409.9,-0.316,0,0
0.0022,1438.7,-0.304,0,0
0.0022,1468.7,-0.292,0,0
0.0022,1500,-0.28,0,0
