uh,uh_n,x
1181.2,1336.6,0.003125
1183.0,1216.0,0.00625
1184.8,1095.7,0.009375
1186.7,977.37,0.0125
1188.5,863.01,0.015625
1190.4,754.18,0.01875
1192.3,652.25,0.021875
1194.2,558.27,0.025
1196.1,472.97,0.028125
1198.0,396.75,0.03125
1199.9,329.69,0.034375
1201.8,271.6,0.0375
1203.7,222.05,0.040625
1205.7,180.44,0.04375
1207.6,146.02,0.046875
1209.6,117.99,0.05
1211.5,95.508,0.053125
1213.5,77.75,0.05625
1215.5,63.935,0.059375
1217.5,53.351,0.0625
1219.5,45.365,0.065625
1221.5,39.429,0.06875
1223.6,35.083,0.071875
1225.6,31.95,0.075
1227.6,29.724,0.078125
1229.7,28.167,0.08125
1231.8,27.094,0.084375
1233.9,26.365,0.0875
1235.9,25.878,0.090625
1238.0,25.557,0.09375
1240.2,25.348,0.096875
1242.3,25.215,0.1
1244.4,25.13,0.10312
1246.6,25.078,0.10625
1248.7,25.046,0.10938
1250.9,25.027,0.1125
1253.1,25.016,0.11563
1255.3,25.009,0.11875
1257.5,25.005,0.12188
1259.7,25.003,0.125
1261.9,25.001,0.12812
1264.2,25.001,0.13125
1266.4,25.0,0.13438
1268.7,25.0,0.1375
1271.0,25.0,0.14062
1273.2,25.0,0.14375
1275.6,25.0,0.14687
1277.9,25.0,0.15
1280.2,25.0,0.15313
1282.5,25.0,0.15625
1284.9,25.0,0.15937
1287.3,25.0,0.1625
1289.6,25.0,0.16563
1292.0,25.0,0.16875
1294.4,25.0,0.17188
1296.9,25.0,0.175
1299.3,25.0,0.17812
1301.8,25.0,0.18125
1304.2,25.0,0.18438
1306.7,25.0,0.1875
1309.2,25.0,0.19062
1311.7,25.0,0.19375
1314.2,25.0,0.19688
1316.8,25.0,0.2
1319.3,25.0,0.20312
1321.9,25.0,0.20625
1324.5,25.0,0.20937
1327.1,25.0,0.2125
1329.7,25.0,0.21563
1332.3,25.0,0.21875
1334.9,25.0,0.22187
1337.6,25.0,0.225
1340.3,25.0,0.22813
1343.0,25.0,0.23125
1345.7,25.0,0.23438
1348.4,25.0,0.2375
1351.2,25.0,0.24062
1353.9,25.0,0.24375
1356.7,25.0,0.24688
1359.5,25.0,0.25
1362.3,25.0,0.25313
1365.1,25.0,0.25625
1368.0,25.0,0.25938
1370.9,25.0,0.2625
1373.8,25.0,0.26562
1376.7,25.0,0.26875
1379.6,25.0,0.27187
1382.5,25.0,0.275
1385.5,25.0,0.27812
1388.5,25.0,0.28125
1391.5,25.0,0.28438
1394.5,25.0,0.2875
1397.5,25.0,0.29063
1400.6,25.0,0.29375
1403.7,25.0,0.29688
1406.8,25.0,0.3
1409.9,25.0,0.30312
1413.1,25.0,0.30625
1416.2,25.0,0.30937
1419.4,25.0,0.3125
1422.6,25.0,0.31563
1425.9,25.0,0.31875
1429.1,25.0,0.32188
1432.4,25.0,0.325
1435.7,25.0,0.32812
1439.0,25.0,0.33125
1442.4,25.0,0.33437
1445.7,25.0,0.3375
1449.1,25.0,0.34062
1452.5,25.0,0.34375
1456.0,25.0,0.34688
1459.5,25.0,0.35
1463.0,25.0,0.35313
1466.5,25.0,0.35625
1470.0,25.0,0.35938
1473.6,25.0,0.3625
1477.2,25.0,0.36562
1480.8,25.0,0.36875
1484.5,25.0,0.37187
1488.2,25.0,0.375
1491.9,25.0,0.37813
1495.6,25.0,0.38125
1499.4,25.0,0.38438
1503.2,25.0,0.3875
1507.0,25.0,0.39062
1510.9,25.0,0.39375
1514.7,25.0,0.39687
1518.6,25.0,0.4
1522.6,25.0,0.40312
1526.6,25.0,0.40625
1530.6,25.0,0.40938
1534.6,25.0,0.4125
1538.7,25.0,0.41563
1542.8,25.0,0.41875
1546.9,25.0,0.42188
1551.1,25.0,0.425
1555.3,25.0,0.42812
1559.6,25.0,0.43125
