Time,"T","material","Points:0","Points:1","Points:2"
10.05,433.36,0,-3.192,0,0.12499
10.05,434,0,-3.18,0,0.12499
10.05,434.63,0,-3.168,0,0.12499
10.05,435.26,0,-3.156,0,0.12499
10.05,435.9,0,-3.144,0,0.12499
10.05,436.54,0,-3.132,0,0.12499
10.05,437.18,0,-3.12,0,0.12499
10.05,437.82,0,-3.108,0,0.12499
10.05,438.46,0,-3.096,0,0.12499
10.05,439.11,0,-3.084,0,0.12499
10.05,439.75,0,-3.072,0,0.12499
10.05,440.4,0,-3.06,0,0.12499
10.05,441.05,0,-3.048,0,0.12499
10.05,441.7,0,-3.036,0,0.12499
10.05,442.36,0,-3.024,0,0.12499
10.05,443.01,0,-3.012,0,0.12499
10.05,443.67,0,-3,0,0.12499
10.05,444.33,0,-2.988,0,0.12499
10.05,444.98,0,-2.976,0,0.12499
10.05,445.65,0,-2.964,0,0.12499
10.05,446.31,0,-2.952,0,0.12499
10.05,446.97,0,-2.94,0,0.12499
10.05,447.64,0,-2.928,0,0.12499
10.05,448.31,0,-2.916,0,0.12499
10.05,448.98,0,-2.904,0,0.12499
10.05,449.65,0,-2.892,0,0.12499
10.05,450.32,0,-2.88,0,0.12499
10.05,450.99,0,-2.868,0,0.12499
10.05,451.67,0,-2.856,0,0.12499
10.05,452.35,0,-2.844,0,0.12499
10.05,453.03,0,-2.832,0,0.12499
10.05,453.71,0,-2.82,0,0.12499
10.05,454.39,0,-2.808,0,0.12499
10.05,455.08,0,-2.796,0,0.12499
10.05,455.77,0,-2.784,0,0.12499
10.05,456.45,0,-2.772,0,0.12499
10.05,457.14,0,-2.76,0,0.12499
10.05,457.84,0,-2.748,0,0.12499
10.05,458.53,0,-2.736,0,0.12499
10.05,459.22,0,-2.724,0,0.12499
10.05,459.92,0,-2.712,0,0.12499
10.05,460.62,0,-2.7,0,0.12499
10.05,461.32,0,-2.688,0,0.12499
10.05,462.02,0,-2.676,0,0.12499
10.05,462.73,0,-2.664,0,0.12499
10.05,463.43,0,-2.652,0,0.12499
10.05,464.14,0,-2.64,0,0.12499
10.05,464.85,0,-2.628,0,0.12499
10.05,465.56,0,-2.616,0,0.12499
10.05,466.28,0,-2.604,0,0.12499
10.05,466.99,0,-2.592,0,0.12499
10.05,467.71,0,-2.58,0,0.12499
10.05,468.43,0,-2.568,0,0.12499
10.05,469.15,0,-2.556,0,0.12499
10.05,469.87,0,-2.544,0,0.12499
10.05,470.6,0,-2.532,0,0.12499
10.05,471.32,0,-2.52,0,0.12499
10.05,472.05,0,-2.508,0,0.12499
10.05,472.78,0,-2.496,0,0.12499
10.05,473.52,0,-2.484,0,0.12499
10.05,474.25,0,-2.472,0,0.12499
10.05,474.99,0,-2.46,0,0.12499
10.05,475.72,0,-2.448,0,0.12499
10.05,476.46,0,-2.436,0,0.12499
10.05,477.2,0,-2.424,0,0.12499
10.05,477.95,0,-2.412,0,0.12499
10.05,478.69,0,-2.4,0,0.12499
10.05,479.44,0,-2.388,0,0.12499
10.05,480.19,0,-2.376,0,0.12499
10.05,480.94,0,-2.364,0,0.12499
10.05,481.7,0,-2.352,0,0.12499
10.05,482.45,0,-2.34,0,0.12499
10.05,483.21,0,-2.328,0,0.12499
10.05,483.97,0,-2.316,0,0.12499
10.05,484.73,0,-2.304,0,0.12499
10.05,485.49,0,-2.292,0,0.12499
10.05,486.26,0,-2.28,0,0.12499
10.05,487.03,0,-2.268,0,0.12499
10.05,487.79,0,-2.256,0,0.12499
10.05,488.57,0,-2.244,0,0.12499
10.05,489.34,0,-2.232,0,0.12499
10.05,490.11,0,-2.22,0,0.12499
10.05,490.89,0,-2.208,0,0.12499
10.05,491.67,0,-2.196,0,0.12499
10.05,492.45,0,-2.184,0,0.12499
10.05,493.24,0,-2.172,0,0.12499
10.05,494.02,0,-2.16,0,0.12499
10.05,494.81,0,-2.148,0,0.12499
10.05,495.6,0,-2.136,0,0.12499
10.05,496.39,0,-2.124,0,0.12499
10.05,497.19,0,-2.112,0,0.12499
10.05,497.98,0,-2.1,0,0.12499
10.05,498.78,0,-2.088,0,0.12499
10.05,499.58,0,-2.076,0,0.12499
10.05,500.38,0,-2.064,0,0.12499
10.05,501.19,0,-2.052,0,0.12499
10.05,502,0,-2.04,0,0.12499
10.05,502.8,0,-2.028,0,0.12499
10.05,503.62,0,-2.016,0,0.12499
10.05,504.43,0,-2.004,0,0.12499
10.05,505.25,0,-1.992,0,0.12499
10.05,506.06,0,-1.98,0,0.12499
10.05,506.88,0,-1.968,0,0.12499
10.05,507.71,0,-1.956,0,0.12499
10.05,508.53,0,-1.944,0,0.12499
10.05,509.36,0,-1.932,0,0.12499
10.05,510.18,0,-1.92,0,0.12499
10.05,511.02,0,-1.908,0,0.12499
10.05,511.85,0,-1.896,0,0.12499
10.05,512.69,0,-1.884,0,0.12499
10.05,513.52,0,-1.872,0,0.12499
10.05,514.36,0,-1.86,0,0.12499
10.05,515.2,0,-1.848,0,0.12499
10.05,516.05,0,-1.836,0,0.12499
10.05,516.9,0,-1.824,0,0.12499
10.05,517.75,0,-1.812,0,0.12499
10.05,518.6,0,-1.8,0,0.12499
10.05,519.45,0,-1.788,0,0.12499
10.05,520.31,0,-1.776,0,0.12499
10.05,521.17,0,-1.764,0,0.12499
10.05,522.03,0,-1.752,0,0.12499
10.05,522.89,0,-1.74,0,0.12499
10.05,523.75,0,-1.728,0,0.12499
10.05,524.62,0,-1.716,0,0.12499
10.05,525.49,0,-1.704,0,0.12499
10.05,526.37,0,-1.692,0,0.12499
10.05,527.24,0,-1.68,0,0.12499
10.05,528.12,0,-1.668,0,0.12499
10.05,529,0,-1.656,0,0.12499
10.05,529.88,0,-1.644,0,0.12499
10.05,530.76,0,-1.632,0,0.12499
10.05,531.65,0,-1.62,0,0.12499
10.05,532.54,0,-1.608,0,0.12499
10.05,533.43,0,-1.596,0,0.12499
10.05,534.33,0,-1.584,0,0.12499
10.05,535.22,0,-1.572,0,0.12499
10.05,536.12,0,-1.56,0,0.12499
10.05,537.03,0,-1.548,0,0.12499
10.05,537.93,0,-1.536,0,0.12499
10.05,538.84,0,-1.524,0,0.12499
10.05,539.75,0,-1.512,0,0.12499
10.05,540.66,0,-1.5,0,0.12499
10.05,541.57,0,-1.488,0,0.12499
10.05,542.49,0,-1.476,0,0.12499
10.05,543.41,0,-1.464,0,0.12499
10.05,544.33,0,-1.452,0,0.12499
10.05,545.26,0,-1.44,0,0.12499
10.05,546.18,0,-1.428,0,0.12499
10.05,547.11,0,-1.416,0,0.12499
10.05,548.05,0,-1.404,0,0.12499
10.05,548.98,0,-1.392,0,0.12499
10.05,549.92,0,-1.38,0,0.12499
10.05,550.86,0,-1.368,0,0.12499
10.05,551.8,0,-1.356,0,0.12499
10.05,552.75,0,-1.344,0,0.12499
10.05,553.7,0,-1.332,0,0.12499
10.05,554.65,0,-1.32,0,0.12499
10.05,555.6,0,-1.308,0,0.12499
10.05,556.56,0,-1.296,0,0.12499
10.05,557.52,0,-1.284,0,0.12499
10.05,558.48,0,-1.272,0,0.12499
10.05,559.44,0,-1.26,0,0.12499
10.05,560.41,0,-1.248,0,0.12499
10.05,561.38,0,-1.236,0,0.12499
10.05,562.35,0,-1.224,0,0.12499
10.05,563.33,0,-1.212,0,0.12499
10.05,564.3,0,-1.2,0,0.12499
10.05,565.29,0,-1.188,0,0.12499
10.05,566.27,0,-1.176,0,0.12499
10.05,567.26,0,-1.164,0,0.12499
10.05,568.24,0,-1.152,0,0.12499
10.05,569.24,0,-1.14,0,0.12499
10.05,570.23,0,-1.128,0,0.12499
10.05,571.23,0,-1.116,0,0.12499
10.05,572.23,0,-1.104,0,0.12499
10.05,573.24,0,-1.092,0,0.12499
10.05,574.24,0,-1.08,0,0.12499
10.05,575.25,0,-1.068,0,0.12499
10.05,576.26,0,-1.056,0,0.12499
10.05,577.28,0,-1.044,0,0.12499
10.05,578.3,0,-1.032,0,0.12499
10.05,579.32,0,-1.02,0,0.12499
10.05,580.34,0,-1.008,0,0.12499
10.05,581.37,0,-0.996,0,0.12499
10.05,582.4,0,-0.984,0,0.12499
10.05,583.43,0,-0.972,0,0.12499
10.05,584.47,0,-0.96,0,0.12499
10.05,585.51,0,-0.948,0,0.12499
10.05,586.55,0,-0.936,0,0.12499
10.05,587.59,0,-0.924,0,0.12499
10.05,588.64,0,-0.912,0,0.12499
10.05,589.69,0,-0.9,0,0.12499
10.05,590.75,0,-0.888,0,0.12499
10.05,591.8,0,-0.876,0,0.12499
10.05,592.86,0,-0.864,0,0.12499
10.05,593.93,0,-0.852,0,0.12499
10.05,594.99,0,-0.84,0,0.12499
10.05,596.06,0,-0.828,0,0.12499
10.05,597.14,0,-0.816,0,0.12499
10.05,598.21,0,-0.804,0,0.12499
10.05,599.29,0,-0.792,0,0.12499
10.05,600.37,0,-0.78,0,0.12499
10.05,601.46,0,-0.768,0,0.12499
10.05,602.55,0,-0.756,0,0.12499
10.05,603.64,0,-0.744,0,0.12499
10.05,604.74,0,-0.732,0,0.12499
10.05,605.83,0,-0.72,0,0.12499
10.05,606.94,0,-0.708,0,0.12499
10.05,608.04,0,-0.696,0,0.12499
10.05,609.15,0,-0.684,0,0.12499
10.05,610.26,0,-0.672,0,0.12499
10.05,611.38,0,-0.66,0,0.12499
10.05,612.49,0,-0.648,0,0.12499
10.05,613.61,0,-0.636,0,0.12499
10.05,614.74,0,-0.624,0,0.12499
10.05,615.87,0,-0.612,0,0.12499
10.05,617,0,-0.6,0,0.12499
10.05,618.13,0,-0.588,0,0.12499
10.05,619.27,0,-0.576,0,0.12499
10.05,620.41,0,-0.564,0,0.12499
10.05,621.56,0,-0.552,0,0.12499
10.05,622.71,0,-0.54,0,0.12499
10.05,623.86,0,-0.528,0,0.12499
10.05,625.02,0,-0.516,0,0.12499
10.05,626.17,0,-0.504,0,0.12499
10.05,627.34,0,-0.492,0,0.12499
10.05,628.5,0,-0.48,0,0.12499
10.05,629.67,0,-0.468,0,0.12499
10.05,630.85,0,-0.456,0,0.12499
10.05,632.02,0,-0.444,0,0.12499
10.05,633.2,0,-0.432,0,0.12499
10.05,634.39,0,-0.42,0,0.12499
10.05,635.57,0,-0.408,0,0.12499
10.05,636.77,0,-0.396,0,0.12499
10.05,637.96,0,-0.384,0,0.12499
10.05,639.16,0,-0.372,0,0.12499
10.05,640.36,0,-0.36,0,0.12499
10.05,641.57,0,-0.348,0,0.12499
10.05,642.78,0,-0.336,0,0.12499
10.05,643.99,0,-0.324,0,0.12499
10.05,645.21,0,-0.312,0,0.12499
10.05,646.43,0,-0.3,0,0.12499
10.05,647.65,0,-0.288,0,0.12499
10.05,648.88,0,-0.276,0,0.12499
10.05,650.11,0,-0.264,0,0.12499
10.05,651.35,0,-0.252,0,0.12499
10.05,652.59,0,-0.24,0,0.12499
10.05,653.83,0,-0.228,0,0.12499
10.05,655.08,0,-0.216,0,0.12499
10.05,656.33,0,-0.204,0,0.12499
10.05,657.58,0,-0.192,0,0.12499
10.05,658.84,0,-0.18,0,0.12499
10.05,660.11,0,-0.168,0,0.12499
10.05,661.37,0,-0.156,0,0.12499
10.05,662.64,0,-0.144,0,0.12499
10.05,663.92,0,-0.132,0,0.12499
10.05,665.2,0,-0.12,0,0.12499
10.05,666.48,0,-0.108,0,0.12499
10.05,667.77,0,-0.096,0,0.12499
10.05,669.06,0,-0.084,0,0.12499
10.05,670.35,0,-0.072,0,0.12499
10.05,671.65,0,-0.06,0,0.12499
10.05,672.95,0,-0.048,0,0.12499
10.05,674.26,0,-0.036,0,0.12499
10.05,675.57,0,-0.024,0,0.12499
10.05,676.89,0,-0.012,0,0.12499
10.05,678.21,0,0,0,0.12499
10.05,679.53,0,0.012,0,0.12499
10.05,680.86,0,0.024,0,0.12499
10.05,682.2,0,0.036,0,0.12499
10.05,683.53,0,0.048,0,0.12499
10.05,684.87,0,0.06,0,0.12499
10.05,686.22,0,0.072,0,0.12499
10.05,687.57,0,0.084,0,0.12499
10.05,688.92,0,0.096,0,0.12499
10.05,690.28,0,0.108,0,0.12499
10.05,691.64,0,0.12,0,0.12499
10.05,693.01,0,0.132,0,0.12499
10.05,694.38,0,0.144,0,0.12499
10.05,695.76,0,0.156,0,0.12499
10.05,697.14,0,0.168,0,0.12499
10.05,698.52,0,0.18,0,0.12499
10.05,699.91,0,0.192,0,0.12499
10.05,701.3,0,0.204,0,0.12499
10.05,702.7,0,0.216,0,0.12499
10.05,704.1,0,0.228,0,0.12499
10.05,705.51,0,0.24,0,0.12499
10.05,706.92,0,0.252,0,0.12499
10.05,708.34,0,0.264,0,0.12499
10.05,709.76,0,0.276,0,0.12499
10.05,711.19,0,0.288,0,0.12499
10.05,712.62,0,0.3,0,0.12499
10.05,714.05,0,0.312,0,0.12499
10.05,715.49,0,0.324,0,0.12499
10.05,716.94,0,0.336,0,0.12499
10.05,718.39,0,0.348,0,0.12499
10.05,719.84,0,0.36,0,0.12499
10.05,721.3,0,0.372,0,0.12499
10.05,722.76,0,0.384,0,0.12499
10.05,724.23,0,0.396,0,0.12499
10.05,725.71,0,0.408,0,0.12499
10.05,727.18,0,0.42,0,0.12499
10.05,728.67,0,0.432,0,0.12499
10.05,730.16,0,0.444,0,0.12499
10.05,731.65,0,0.456,0,0.12499
10.05,733.15,0,0.468,0,0.12499
10.05,734.65,0,0.48,0,0.12499
10.05,736.16,0,0.492,0,0.12499
10.05,737.67,0,0.504,0,0.12499
10.05,739.19,0,0.516,0,0.12499
10.05,740.71,0,0.528,0,0.12499
10.05,742.24,0,0.54,0,0.12499
10.05,743.78,0,0.552,0,0.12499
10.05,745.32,0,0.564,0,0.12499
10.05,746.86,0,0.576,0,0.12499
10.05,748.41,0,0.588,0,0.12499
10.05,749.96,0,0.6,0,0.12499
10.05,751.53,0,0.612,0,0.12499
10.05,753.09,0,0.624,0,0.12499
10.05,754.66,0,0.636,0,0.12499
10.05,756.24,0,0.648,0,0.12499
10.05,757.82,0,0.66,0,0.12499
10.05,759.41,0,0.672,0,0.12499
10.05,761,0,0.684,0,0.12499
10.05,762.6,0,0.696,0,0.12499
10.05,764.2,0,0.708,0,0.12499
10.05,765.81,0,0.72,0,0.12499
10.05,767.42,0,0.732,0,0.12499
10.05,769.04,0,0.744,0,0.12499
10.05,770.67,0,0.756,0,0.12499
10.05,772.3,0,0.768,0,0.12499
10.05,773.94,0,0.78,0,0.12499
10.05,775.58,0,0.792,0,0.12499
10.05,777.23,0,0.804,0,0.12499
10.05,778.89,0,0.816,0,0.12499
10.05,780.54,0,0.828,0,0.12499
10.05,782.21,0,0.84,0,0.12499
10.05,783.88,0,0.852,0,0.12499
10.05,785.56,0,0.864,0,0.12499
10.05,787.24,0,0.876,0,0.12499
10.05,788.93,0,0.888,0,0.12499
10.05,790.63,0,0.9,0,0.12499
10.05,792.33,0,0.912,0,0.12499
10.05,794.04,0,0.924,0,0.12499
10.05,795.75,0,0.936,0,0.12499
10.05,797.47,0,0.948,0,0.12499
10.05,799.2,0,0.96,0,0.12499
10.05,800.93,0,0.972,0,0.12499
10.05,802.67,0,0.984,0,0.12499
10.05,804.41,0,0.996,0,0.12499
10.05,806.16,0,1.008,0,0.12499
10.05,807.92,0,1.02,0,0.12499
10.05,809.68,0,1.032,0,0.12499
10.05,811.45,0,1.044,0,0.12499
10.05,813.23,0,1.056,0,0.12499
10.05,815.01,0,1.068,0,0.12499
10.05,816.8,0,1.08,0,0.12499
10.05,818.6,0,1.092,0,0.12499
10.05,820.4,0,1.104,0,0.12499
10.05,822.21,0,1.116,0,0.12499
10.05,824.02,0,1.128,0,0.12499
10.05,825.85,0,1.14,0,0.12499
10.05,827.67,0,1.152,0,0.12499
10.05,829.51,0,1.164,0,0.12499
10.05,831.35,0,1.176,0,0.12499
10.05,833.2,0,1.188,0,0.12499
10.05,835.05,0,1.2,0,0.12499
10.05,836.92,0,1.212,0,0.12499
10.05,838.79,0,1.224,0,0.12499
10.05,840.66,0,1.236,0,0.12499
10.05,842.55,0,1.248,0,0.12499
10.05,844.44,0,1.26,0,0.12499
10.05,846.33,0,1.272,0,0.12499
10.05,848.24,0,1.284,0,0.12499
10.05,850.15,0,1.296,0,0.12499
10.05,852.07,0,1.308,0,0.12499
10.05,854,0,1.32,0,0.12499
10.05,855.93,0,1.332,0,0.12499
10.05,857.87,0,1.344,0,0.12499
10.05,859.82,0,1.356,0,0.12499
10.05,861.78,0,1.368,0,0.12499
10.05,863.74,0,1.38,0,0.12499
10.05,865.71,0,1.392,0,0.12499
10.05,867.69,0,1.404,0,0.12499
10.05,869.68,0,1.416,0,0.12499
10.05,871.67,0,1.428,0,0.12499
10.05,873.67,0,1.44,0,0.12499
10.05,875.68,0,1.452,0,0.12499
10.05,877.7,0,1.464,0,0.12499
10.05,879.72,0,1.476,0,0.12499
10.05,881.75,0,1.488,0,0.12499
10.05,883.79,0,1.5,0,0.12499
10.05,885.84,0,1.512,0,0.12499
10.05,887.89,0,1.524,0,0.12499
10.05,889.96,0,1.536,0,0.12499
10.05,892.03,0,1.548,0,0.12499
10.05,894.11,0,1.56,0,0.12499
10.05,896.2,0,1.572,0,0.12499
10.05,898.3,0,1.584,0,0.12499
10.05,900.4,0,1.596,0,0.12499
10.05,902.52,0,1.608,0,0.12499
10.05,904.64,0,1.62,0,0.12499
10.05,906.77,0,1.632,0,0.12499
10.05,908.91,0,1.644,0,0.12499
10.05,911.06,0,1.656,0,0.12499
10.05,913.21,0,1.668,0,0.12499
