Time,"T","gammaNodes","material","Points:0","Points:1","Points:2"
10.05,542.41,0,0,-1.704,0,0.12499
10.05,543.06,0,0,-1.692,0,0.12499
10.05,543.71,0,0,-1.68,0,0.12499
10.05,544.4,0,0,-1.668,0,0.12499
10.05,545.11,0,0,-1.656,0,0.12499
10.05,545.85,0,0,-1.644,0,0.12499
10.05,546.61,0,0,-1.632,0,0.12499
10.05,547.39,0,0,-1.62,0,0.12499
10.05,548.2,0,0,-1.608,0,0.12499
10.05,549.02,0,0,-1.596,0,0.12499
10.05,549.86,0,0,-1.584,0,0.12499
10.05,550.7,0,0,-1.572,0,0.12499
10.05,551.57,0,0,-1.56,0,0.12499
10.05,552.43,0,0,-1.548,0,0.12499
10.05,553.31,0,0,-1.536,0,0.12499
10.05,554.2,0,0,-1.524,0,0.12499
10.05,555.09,0,0,-1.512,0,0.12499
10.05,555.99,0,0,-1.5,0,0.12499
10.05,556.89,0,0,-1.488,0,0.12499
10.05,557.8,0,0,-1.476,0,0.12499
10.05,558.71,0,0,-1.464,0,0.12499
10.05,559.63,0,0,-1.452,0,0.12499
10.05,560.55,0,0,-1.44,0,0.12499
10.05,561.47,0,0,-1.428,0,0.12499
10.05,562.4,0,0,-1.416,0,0.12499
10.05,563.33,0,0,-1.404,0,0.12499
10.05,564.26,0,0,-1.392,0,0.12499
10.05,565.2,0,0,-1.38,0,0.12499
10.05,566.14,0,0,-1.368,0,0.12499
10.05,567.08,0,0,-1.356,0,0.12499
10.05,568.03,0,0,-1.344,0,0.12499
10.05,568.98,0,0,-1.332,0,0.12499
10.05,569.94,0,0,-1.32,0,0.12499
10.05,570.89,0,0,-1.308,0,0.12499
10.05,571.85,0,0,-1.296,0,0.12499
10.05,572.82,0,0,-1.284,0,0.12499
10.05,573.78,0,0,-1.272,0,0.12499
10.05,574.75,0,0,-1.26,0,0.12499
10.05,575.72,0,0,-1.248,0,0.12499
10.05,576.7,0,0,-1.236,0,0.12499
10.05,577.68,0,0,-1.224,0,0.12499
10.05,578.66,0,0,-1.212,0,0.12499
