"uh","Points:0","Points:1","Points:2"
nan,-0.71875,0,0
nan,-0.72188,0,0
950.33,-0.72188,0,0
961.94,-0.71875,-4.2501e-17,0
961.94,-0.71875,0,0
972.98,-0.71562,1.7347e-19,0
972.98,-0.71562,0,0
983.46,-0.7125,-4.2501e-17,0
nan,-0.7125,-4.2501e-17,0
nan,-0.71562,0,0
972.98,-0.71562,0,0
983.46,-0.7125,0,0
983.46,-0.7125,0,0
993.39,-0.70938,0,0
993.39,-0.70938,0,0
1002.8,-0.70625,0,0
1002.8,-0.70625,0,0
1011.7,-0.70312,0,0
nan,-0.70312,0,0
nan,-0.70625,0,0
1002.8,-0.70625,0,0
1011.7,-0.70312,-4.2501e-17,0
1011.7,-0.70312,0,0
1020.1,-0.7,0,0
1020.1,-0.7,0,0
1028.1,-0.69687,-4.2501e-17,0
nan,-0.69687,-4.2501e-17,0
nan,-0.7,0,0
1020.1,-0.7,0,0
1028.1,-0.69687,0,0
1028.1,-0.69687,0,0
1035.6,-0.69375,1.7347e-19,0
1035.6,-0.69375,0,0
1042.7,-0.69063,0,0
1042.7,-0.69063,0,0
1049.4,-0.6875,0,0
nan,-0.6875,0,0
nan,-0.69063,0,0
1042.7,-0.69063,0,0
1049.4,-0.6875,-4.2501e-17,0
1049.4,-0.6875,0,0
1055.7,-0.68437,0,0
1055.7,-0.68437,0,0
1061.6,-0.68125,-4.2501e-17,0
nan,-0.68125,-4.2501e-17,0
nan,-0.68437,0,0
1055.7,-0.68437,0,0
1061.6,-0.68125,0,0
1061.6,-0.68125,0,0
1067.2,-0.67813,0,0
1067.2,-0.67813,0,0
1072.5,-0.675,1.7347e-19,0
1072.5,-0.675,0,0
1077.5,-0.67188,0,0
nan,-0.67188,0,0
nan,-0.675,0,0
1072.5,-0.675,0,0
1077.5,-0.67188,-4.2501e-17,0
1077.5,-0.67188,0,0
1082.2,-0.66875,1.7347e-19,0
1082.2,-0.66875,0,0
1086.6,-0.66562,0,0
nan,-0.66562,0,0
nan,-0.66875,0,0
1082.2,-0.66875,0,0
1086.6,-0.66562,-4.2501e-17,0
1086.6,-0.66562,0,0
1090.8,-0.6625,1.7347e-19,0
1090.8,-0.6625,0,0
1094.8,-0.65938,-3.7877e-30,0
1094.8,-0.65938,0,0
1098.5,-0.65625,0,0
nan,-0.65625,0,0
nan,-0.65938,0,0
1094.8,-0.65938,0,0
1098.5,-0.65625,0,0
1098.5,-0.65625,0,0
1102,-0.65312,0,0
nan,-0.65312,0,0
nan,-0.65625,1.8939e-30,0
1098.5,-0.65625,1.8939e-30,0
1102,-0.65312,0,0
1102,-0.65312,0,0
1105.4,-0.65,0,0
1105.4,-0.65,0,0
1108.5,-0.64688,4.5103e-17,0
1108.5,-0.64688,0,0
1111.5,-0.64375,4.5103e-17,0
1111.5,-0.64375,0,0
1114.3,-0.64062,0,0
1114.3,-0.64062,0,0
1117,-0.6375,4.4235e-17,0
nan,-0.6375,4.4235e-17,0
nan,-0.64062,0,0
1114.3,-0.64062,0,0
1117,-0.6375,0,0
1117,-0.6375,0,0
1119.5,-0.63437,0,0
1119.5,-0.63437,0,0
1121.8,-0.63125,4.5103e-17,0
1121.8,-0.63125,0,0
1124,-0.62813,0,0
1124,-0.62813,0,0
1126.1,-0.625,0,0
1126.1,-0.625,0,0
1128,-0.62187,4.4235e-17,0
nan,-0.62187,4.4235e-17,0
nan,-0.625,0,0
1126.1,-0.625,0,0
1128,-0.62187,0,0
1128,-0.62187,0,0
1129.8,-0.61875,0,0
1129.8,-0.61875,0,0
1131.4,-0.61563,0,0
1131.4,-0.61563,0,0
1132.8,-0.6125,4.5103e-17,0
1132.8,-0.6125,0,0
1134.2,-0.60938,0,0
1134.2,-0.60938,0,0
1135.3,-0.60625,0,0
nan,-0.60625,0,0
