"uh","Points:0","Points:1","Points:2"
1111.5,-0.65,4.4235e-17,0
1111.5,-0.65,0,0
1114.7,-0.64688,4.5103e-17,0
1114.7,-0.64688,0,0
1117.8,-0.64375,4.5103e-17,0
1117.8,-0.64375,0,0
1120.8,-0.64062,0,0
1120.8,-0.64062,0,0
1123.7,-0.6375,0,0
nan,-0.6375,0,0
nan,-0.64062,0,0
1120.8,-0.64062,0,0
1123.7,-0.6375,4.4235e-17,0
1123.7,-0.6375,0,0
1126.5,-0.63437,0,0
1126.5,-0.63437,0,0
1129.1,-0.63125,0,0
1129.1,-0.63125,0,0
1131.7,-0.62813,4.5103e-17,0
1131.7,-0.62813,0,0
1134.2,-0.625,0,0
1134.2,-0.625,0,0
1136.6,-0.62187,4.4235e-17,0
nan,-0.62187,4.4235e-17,0
nan,-0.625,0,0
1134.2,-0.625,0,0
1136.6,-0.62187,0,0
1136.6,-0.62187,0,0
1138.9,-0.61875,0,0
1138.9,-0.61875,0,0
1141.2,-0.61563,0,0
1141.2,-0.61563,0,0
1143.4,-0.6125,4.5103e-17,0
1143.4,-0.6125,0,0
1145.5,-0.60938,0,0
1145.5,-0.60938,0,0
1147.5,-0.60625,4.4235e-17,0
nan,-0.60625,4.4235e-17,0
nan,-0.60938,0,0
1145.5,-0.60938,0,0
1147.5,-0.60625,0,0
1147.5,-0.60625,0,0
1149.5,-0.60312,0,0
1149.5,-0.60312,0,0
1151.4,-0.6,4.5103e-17,0
1151.4,-0.6,0,0
1153.2,-0.59688,0,0
1153.2,-0.59688,0,0
1154.9,-0.59375,0,0
1154.9,-0.59375,0,0
1156.6,-0.59062,0,0
nan,-0.59062,0,0
nan,-0.59375,0,0
1154.9,-0.59375,0,0
1156.6,-0.59062,4.4235e-17,0
1156.6,-0.59062,0,0
1158.2,-0.5875,0,0
1158.2,-0.5875,0,0
1159.7,-0.58438,4.5103e-17,0
1159.7,-0.58438,0,0
1161.1,-0.58125,4.5103e-17,0
1161.1,-0.58125,0,0
1162.3,-0.57812,0,0
1162.3,-0.57812,0,0
1163.5,-0.575,0,0
nan,-0.575,0,0
nan,-0.57812,0,0
1162.3,-0.57812,0,0
1163.5,-0.575,4.4235e-17,0
1163.5,-0.575,0,0
1164.6,-0.57187,0,0
1164.6,-0.57187,0,0
1165.5,-0.56875,4.5103e-17,0
1165.5,-0.56875,0,0
1166.3,-0.56563,4.5103e-17,0
1166.3,-0.56563,0,0
1166.9,-0.5625,0,0
1166.9,-0.5625,0,0
1167.4,-0.55937,4.4235e-17,0
nan,-0.55937,4.4235e-17,0
nan,-0.5625,0,0
1166.9,-0.5625,0,0
1167.4,-0.55937,0,0
1167.4,-0.55937,0,0
1167.7,-0.55625,0,0
1167.7,-0.55625,0,0
1167.9,-0.55313,4.5103e-17,0
1167.9,-0.55313,0,0
1168,-0.55,0,0
1168,-0.55,0,0
1168,-0.54688,0,0
1168,-0.54688,0,0
1168,-0.54375,4.4235e-17,0
nan,-0.54375,4.4235e-17,0
nan,-0.54688,0,0
1168,-0.54688,0,0
1168,-0.54375,0,0
1168,-0.54375,0,0
1167.9,-0.54062,0,0
1167.9,-0.54062,0,0
1167.8,-0.5375,0,0
1167.8,-0.5375,0,0
1167.7,-0.53438,0,0
1167.7,-0.53438,0,0
1167.7,-0.53125,0,0
1167.7,-0.53125,0,0
1167.7,-0.52812,0,0
nan,-0.52812,0,0
nan,-0.53125,0,0
1167.7,-0.53125,0,0
1167.7,-0.52812,4.4235e-17,0
1167.7,-0.52812,0,0
1167.9,-0.525,0,0
1167.9,-0.525,0,0
1168.1,-0.52188,4.5103e-17,0
1168.1,-0.52188,0,0
1168.5,-0.51875,1.7347e-19,0
1168.5,-0.51875,0,0
1168.9,-0.51562,0,0
1168.9,-0.51562,0,0
1169.5,-0.5125,0,0
nan,-0.5125,0,0
nan,-0.51562,0,0
1168.9,-0.51562,0,0
1169.5,-0.5125,4.4235e-17,0
1169.5,-0.5125,0,0
1170.2,-0.50937,0,0
1170.2,-0.50937,0,0
1171,-0.50625,4.5103e-17,0
1171,-0.50625,0,0
1172,-0.50313,4.5103e-17,0
1172,-0.50313,0,0
1173,-0.5,0,0
1173,-0.5,0,0
1174.1,-0.49687,4.4235e-17,0
nan,-0.49687,4.4235e-17,0
nan,-0.5,0,0
1173,-0.5,0,0
1174.1,-0.49687,0,0
1174.1,-0.49687,0,0
1175.3,-0.49375,4.4235e-17,0
1175.3,-0.49375,0,0
1176.6,-0.49062,4.4235e-17,0
1176.6,-0.49062,0,0
1178,-0.4875,4.4235e-17,0
1178,-0.4875,0,0
1179.4,-0.48438,0,0
1179.4,-0.48438,0,0
1181,-0.48125,4.4235e-17,0
1181,-0.48125,0,0
1182.5,-0.47813,4.5103e-17,0
1182.5,-0.47813,0,0
1184.2,-0.475,0,0
1184.2,-0.475,0,0
1185.9,-0.47188,0,0
1185.9,-0.47188,0,0
1187.6,-0.46875,0,0
1187.6,-0.46875,0,0
1189.4,-0.46562,4.4235e-17,0
1189.4,-0.46562,0,0
1191.2,-0.4625,4.5103e-17,0
1191.2,-0.4625,0,0
1193,-0.45937,0,0
1193,-0.45937,0,0
1194.9,-0.45625,4.4235e-17,0
1194.9,-0.45625,0,0
1196.8,-0.45312,0,0
1196.8,-0.45312,0,0
1198.7,-0.45,0,0
1198.7,-0.45,0,0
1200.7,-0.44688,4.5103e-17,0
1200.7,-0.44688,0,0
1202.6,-0.44375,0,0
1202.6,-0.44375,0,0
1204.6,-0.44063,4.4235e-17,0
1204.6,-0.44063,0,0
1206.7,-0.4375,0,0
1206.7,-0.4375,0,0
1208.7,-0.43437,0,0
1208.7,-0.43437,0,0
1210.8,-0.43125,0,0
1210.8,-0.43125,0,0
1212.8,-0.42812,4.4235e-17,0
1212.8,-0.42812,0,0
1214.9,-0.425,4.4235e-17,0
1214.9,-0.425,0,0
1217,-0.42188,0,0
1217,-0.42188,0,0
1219.1,-0.41875,0,0
1219.1,-0.41875,0,0
1221.3,-0.41563,4.5103e-17,0
1221.3,-0.41563,0,0
1223.4,-0.4125,4.4235e-17,0
1223.4,-0.4125,0,0
1225.6,-0.40938,0,0
1225.6,-0.40938,0,0
1227.8,-0.40625,0,0
1227.8,-0.40625,0,0
1230,-0.40312,4.4235e-17,0
1230,-0.40312,0,0
1232.2,-0.4,0,0
1232.2,-0.4,0,0
1234.4,-0.39687,0,0
nan,-0.39687,0,0
nan,-0.4,0,0
1232.2,-0.4,0,0
1234.4,-0.39687,4.4235e-17,0
1234.4,-0.39687,0,0
1236.7,-0.39375,0,0
1236.7,-0.39375,0,0
1238.9,-0.39062,0,0
1238.9,-0.39062,0,0
1241.2,-0.3875,0,0
1241.2,-0.3875,0,0
1243.5,-0.38438,-5.2042e-19,0
1243.5,-0.38438,-9.6296e-35,0
1245.8,-0.38125,4.4235e-17,0
nan,-0.38125,4.4235e-17,0
nan,-0.38438,0,0
1243.5,-0.38438,0,0
1245.8,-0.38125,0,0
1245.8,-0.38125,-7.8265e-32,0
1248.1,-0.37813,0,0
nan,-0.37813,0,0
nan,-0.38125,0,0
1245.8,-0.38125,0,0
1248.1,-0.37813,0,0
1248.1,-0.37813,1.8939e-30,0
1250.4,-0.375,4.4235e-17,0
1250.4,-0.375,1.8939e-30,0
1252.7,-0.37187,-8.6736e-20,0
1252.7,-0.37187,1.8939e-30,0
1255.1,-0.36875,0,0
1255.1,-0.36875,0,0
1257.5,-0.36562,0,0
nan,-0.36562,0,0
nan,-0.36875,1.8939e-30,0
1255.1,-0.36875,1.8939e-30,0
1257.5,-0.36562,0,0
1257.5,-0.36562,0,0
1259.8,-0.3625,0,0
nan,-0.3625,0,0
nan,-0.36562,-7.8265e-32,0
1257.5,-0.36562,-7.8265e-32,0
1259.8,-0.3625,0,0
1259.8,-0.3625,0,0
1262.2,-0.35938,0,0
1262.2,-0.35938,1.8939e-30,0
1264.7,-0.35625,-8.6736e-20,0
1264.7,-0.35625,0,0
1267.1,-0.35313,0,0
1267.1,-0.35313,1.8939e-30,0
1269.5,-0.35,0,0
nan,-0.35,0,0
nan,-0.35313,0,0
1267.1,-0.35313,0,0
1269.5,-0.35,0,0
1269.5,-0.35,-7.8265e-32,0
1272,-0.34688,0,0
nan,-0.34688,0,0
nan,-0.35,0,0
1269.5,-0.35,0,0
1272,-0.34688,0,0
1272,-0.34688,0,0
1274.5,-0.34375,0,0
1274.5,-0.34375,1.8939e-30,0
1277,-0.34062,-8.6736e-20,0
1277,-0.34062,1.8939e-30,0
1279.5,-0.3375,0,0
1279.5,-0.3375,1.8939e-30,0
1282,-0.33437,0,0
nan,-0.33437,0,0
nan,-0.3375,0,0
1279.5,-0.3375,0,0
1282,-0.33437,0,0
1282,-0.33437,-7.8265e-32,0
1284.5,-0.33125,0,0
nan,-0.33125,0,0
nan,-0.33437,0,0
1282,-0.33437,0,0
1284.5,-0.33125,0,0
1284.5,-0.33125,0,0
1287.1,-0.32812,0,0
1287.1,-0.32812,0,0
1289.7,-0.325,0,0
1289.7,-0.325,0,0
1292.3,-0.32188,0,0
1292.3,-0.32188,1.8939e-30,0
1294.9,-0.31875,0,0
nan,-0.31875,0,0
nan,-0.32188,0,0
1292.3,-0.32188,0,0
1294.9,-0.31875,0,0
1294.9,-0.31875,0,0
1297.5,-0.31563,0,0
nan,-0.31563,0,0
nan,-0.31875,-7.8265e-32,0
1294.9,-0.31875,-7.8265e-32,0
1297.5,-0.31563,0,0
1297.5,-0.31563,0,0
1300.2,-0.3125,0,0
1300.2,-0.3125,1.8939e-30,0
1302.8,-0.30937,-8.6736e-20,0
1302.8,-0.30937,0,0
1305.5,-0.30625,0,0
1305.5,-0.30625,0,0
1308.2,-0.30312,0,0
nan,-0.30312,0,0
nan,-0.30625,1.8939e-30,0
