x,y
-0.00031875,-1.079e-05
-0.00031886,-1.0733e-05
-0.00031886,-1.0733e-05
-0.00031908,-1.0625e-05
-0.00031908,-1.0625e-05
-0.00032174,-8.3058e-06
-0.00032406,-6.4661e-06
-0.00032406,-6.4661e-06
-0.00032469,-5.9407e-06
-0.00032469,-5.9407e-06
-0.00032551,-5.3125e-06
-0.00032551,-5.3125e-06
-0.00032664,-2.5736e-06
-0.00032776,-3.4658e-22
