"Points:0","Points:1","Points:2"
0.9921072,0,-0.02330351
0.9921129,0,-0.02330173
0.7404063,0,-0.02193104
0.7410921,0,-0.02201993
0.7424203,0,-0.02219154
0.7437484,0,-0.02236245
0.7450765,0,-0.02253265
0.7464046,0,-0.02270216
0.7477327,0,-0.02287098
0.7490609,0,-0.02303913
0.750389,0,-0.02320896
0.9934353,0,-0.02288347
0.9947634,0,-0.02246979
0.9960915,0,-0.02204829
0.9964566,0,-0.02193104
0.7321115,0,-0.02056035
0.7331234,0,-0.02072826
0.7344515,0,-0.02094831
0.7357796,0,-0.02116797
0.7371078,0,-0.02138721
0.7384359,0,-0.02160606
0.739764,0,-0.02182522
0.9974197,0,-0.02165859
0.9987478,0,-0.02127274
1.000076,0,-0.02087459
1.001095,0,-0.02056035
0.7259502,0,-0.01918966
0.7264827,0,-0.01930782
0.7278109,0,-0.01960311
0.729139,0,-0.01989797
0.7304671,0,-0.02019351
0.7317953,0,-0.02048971
1.001404,0,-0.02047319
1.002732,0,-0.02008845
1.00406,0,-0.01968673
1.005388,0,-0.01927874
1.005668,0,-0.01918966
0.719727,0,-0.01781897
0.7198421,0,-0.01784415
0.7211703,0,-0.01813521
0.7224984,0,-0.0184271
0.7238265,0,-0.01871983
0.7251546,0,-0.0190134
1.006716,0,-0.01884414
1.008045,0,-0.01838018
1.009373,0,-0.0178838
1.00954,0,-0.01781897
0.7134644,0,-0.01644828
0.7145297,0,-0.01668123
0.7158578,0,-0.01697245
0.7171859,0,-0.01726454
0.718514,0,-0.01755393
1.010701,0,-0.01735143
1.012029,0,-0.01677911
1.012754,0,-0.01644828
0.7071445,0,-0.01507759
0.7078891,0,-0.01523808
0.7092172,0,-0.01552499
0.7105453,0,-0.01581276
0.7118734,0,-0.01610139
0.7132015,0,-0.01639087
1.013357,0,-0.0161621
1.014685,0,-0.01549498
1.015606,0,-0.01507759
0.7008798,0,-0.0137069
0.7012485,0,-0.01378732
0.7025766,0,-0.01407744
0.7039047,0,-0.01436825
0.7052328,0,-0.01465977
0.7065609,0,-0.01495199
1.016013,0,-0.01488995
1.017341,0,-0.01426338
1.018482,0,-0.0137069
0.6947013,0,-0.01233621
0.695936,0,-0.01263373
0.6972641,0,-0.01292112
0.6985922,0,-0.01320916
0.6999204,0,-0.0134979
1.01867,0,-0.01361391
1.019998,0,-0.01294025
1.021148,0,-0.01233621
0.6891168,0,-0.01096552
0.6892954,0,-0.01100999
0.6906235,0,-0.01133941
0.6919516,0,-0.01166647
0.6932797,0,-0.0119912
0.6946079,0,-0.01231361
1.021326,0,-0.01224103
1.022654,0,-0.01151478
1.023625,0,-0.01096552
0.6864746,0,-0.00959483
0.6866391,0,-0.009681296
0.6879672,0,-0.01037377
1.023982,0,-0.01062366
1.025002,0,-0.00959483
0.6847163,0,-0.00822414
0.685311,0,-0.008640975
1.02531,0,-0.00916618
1.026153,0,-0.00822414
0.6827223,0,-0.00685345
0.6839828,0,-0.00771518
1.026638,0,-0.007672063
1.027347,0,-0.00685345
0.6806671,0,-0.00548276
0.6813266,0,-0.005918095
0.6826547,0,-0.006807733
1.027966,0,-0.006124324
1.028503,0,-0.00548276
0.6785479,0,-0.00411207
0.6786703,0,-0.004190148
0.6799985,0,-0.005045746
1.029295,0,-0.00451926
1.029624,0,-0.00411207
0.6763616,0,-0.00274138
0.6773422,0,-0.0033509
1.030623,0,-0.002853624
1.03071,0,-0.00274138
0.6742023,0,-0.00137069
0.674686,0,-0.001719326
0.6760141,0,-0.002527499
1.031764,0,-0.00137069
0.6722933,0,0
0.6733579,0,-0.0007634426
1.031951,0,-0.001123924
1.032787,0,0
